712 50
technical 0.0021646796 -0.0024958872 0.0020985526 0.0017398241 0.0009932106 -0.0002161585 -0.0013146818 0.0014668655 0.00059223076 -0.0013576914 0.0014308861 -0.0012244757 -0.00013215872 0.0005687308 -0.0021022384 -0.00131162 -0.0012123317 0.0023981167 0.0023396346 -0.00034176273 -0.001818422 -0.0014335368 -0.0021404603 -0.0017509187 -0.0025621944 -0.0004523498 0.0017402 -0.0010598028 0.0020806715 -0.00012142366 0.0017606566 0.0013628477 -0.0012693084 0.00060747686 0.0018063601 -0.0029195468 -0.0028933524 -0.00022464056 0.0007952567 -0.0026952953 -0.00091145886 -0.00027243028 -0.0012520576 -0.0012156839 0.00018783569 -0.000500008 0.0015343504 0.0025580733 0.0011629357 6.949545e-05
<UNK> 0.00011512608 -0.00065223576 -0.00069419487 0.0002511543 0.00056695245 0.00012113055 0.00016297569 0.00065395265 0.00038238853 -0.0003486752 8.758373e-05 5.2450763e-05 0.00012352498 0.00029946567 -0.0001697315 0.0006560167 0.0005827754 -0.00030645405 -0.00067238545 6.594055e-05 0.0006167654 0.0004990511 1.1180884e-05 0.00050266605 -0.00016359676 -0.00037165097 -0.00066362874 0.0001340275 -0.00034963508 0.0005956676 -0.00024658188 -0.00025015097 0.00035075884 -0.00056443503 -0.00067184115 0.0004631058 -3.718822e-05 -0.0001934538 0.0005840179 1.0035172e-05 0.0003046784 4.8330257e-05 0.00034382305 -9.646674e-05 -3.8198006e-05 6.063981e-05 -0.0005346796 0.00048240222 -0.00023885487 -0.00021381391
the 0.0106996605 -0.010921389 0.0084070265 0.010052905 0.009569035 0.009343517 -0.009958579 -0.0028302167 0.008800082 0.00050901674 0.009268316 -0.01064084 -0.009420982 0.0114262635 -0.010622265 -0.010600463 -0.0105053 0.0077725947 0.010114134 0.005554862 -0.011240818 -0.010080671 -0.009298813 -0.011938808 -0.010025838 -0.00647169 0.010948899 -0.008442269 0.005705516 -0.008854888 0.010979404 0.012686493 -0.010171667 0.010120195 0.011011714 -0.0062792287 -0.0066740713 0.007096437 0.0066790823 -0.011975341 -0.008708433 -0.009043581 -0.009926885 -0.009418879 0.0073714633 -0.005598768 0.0056240573 0.007964377 0.010915903 0.008790149
prime 0.005576938 -0.0062908786 -0.0038012743 0.005208536 0.0046122586 0.0056047468 -0.0067861318 -0.0014830873 0.005813869 -0.0073592607 0.0051048915 -0.0068086362 -0.0052508544 0.007889775 -0.0065701716 -0.0069206124 -0.004795007 0.0067392364 0.0057637845 -0.0013137701 -0.0072891642 -0.0058173854 -0.006372903 -0.0065180687 -0.005810908 -0.0066435654 0.0062177707 -0.0053569116 -0.0043067513 -0.0054949047 0.0050079664 0.0037860288 -0.0070433323 0.0054005445 0.00757769 -0.0073559796 -0.0073901378 0.0067828833 0.003929029 -0.006725208 -0.006762048 -0.0062620062 -0.0070354706 -0.006358308 0.004822759 0.0001094776 0.006863924 0.007563171 0.0062333373 0.0075047747
minister -0.0006305065 -0.0068078437 -0.00059542066 0.0020523637 -0.0016674321 0.007554954 -0.0029083977 -0.0053441715 0.0006818945 -0.0043078326 -0.0006187567 -0.007041452 -0.0011047608 0.004624072 -0.0039541316 -0.005968677 0.002062317 0.0064265467 0.005249166 -0.0032046072 -0.006215465 -0.0030003418 -0.006096736 -0.0036196667 -0.0012855096 -0.0070959358 0.0063679228 -0.0023029672 -0.0036319373 -0.0061175576 0.003449776 0.0008618919 -0.0064551816 0.0013737498 0.0029109924 -0.0050322115 -0.0047872188 0.0056380956 0.0039692638 -0.005762971 -0.0050436044 -0.0057253637 -0.006332276 -0.000993183 0.005359975 0.0030923379 0.00694973 0.005373783 0.0020402821 0.0069302805
of 0.009849988 -0.0100815045 0.009410021 0.009612643 0.0106367115 0.009819299 -0.0096122725 -0.00046914627 0.008520713 0.0010405681 0.008798104 -0.010677122 -0.009219372 0.009722235 -0.0100540705 -0.0095046675 -0.009016791 0.008717192 0.010089996 0.008923952 -0.009222461 -0.010607876 -0.008807997 -0.0112792635 -0.011339639 -0.0054523167 0.010323335 -0.008454255 0.004382686 -0.0079567935 0.009515943 0.011630671 -0.009725032 0.01130714 0.012087597 -0.0065784864 -0.007960149 0.009859889 0.0075543183 -0.010731845 -0.007216754 -0.011732202 -0.010413954 -0.01050121 0.008792357 -0.00824669 0.009930843 0.009523972 0.010856614 0.00821067
for 0.005726591 -0.006311085 0.004519882 0.0067063896 0.00735496 0.006263131 -0.006791945 0.0010319792 0.0063540344 -0.0036625895 0.00552433 -0.0075499644 -0.007862538 0.006973044 -0.007212082 -0.006501056 -0.006202661 0.0057819304 0.006418306 0.0036497058 -0.0083787395 -0.0074415547 -0.004804934 -0.0065998966 -0.005437462 -0.005655503 0.006635608 -0.0053179115 0.0014099702 -0.0073679923 0.008661185 0.008422639 -0.0055935686 0.005090678 0.0068611605 -0.0035014835 -0.0058737416 0.0059759067 0.004169132 -0.005587096 -0.004647425 -0.00656806 -0.005555209 -0.008073536 0.005068739 -0.00442521 9.7561264e-05 0.0061566015 0.0070182416 0.0060712285
and 0.007501712 -0.007830363 0.0057650115 0.0073312833 0.007494062 0.008179806 -0.00856244 -0.000364256 0.006566432 0.004680501 0.0064149587 -0.008873986 -0.0076344498 0.008950651 -0.0068583884 -0.008514889 -0.007455135 0.0074847243 0.007610044 0.0041931425 -0.008307151 -0.009119445 -0.0063724588 -0.008816016 -0.0075705983 -0.006423693 0.009074143 -0.0071788444 0.0025626207 -0.006827318 0.009744706 0.008203276 -0.008720708 0.009390219 0.008587285 -0.007815457 -0.004244101 0.0075055235 0.0059528016 -0.0055983774 -0.0070306747 -0.008867652 -0.0072891223 -0.0067652003 0.006617877 -0.0054347054 0.0049673375 0.006729738 0.007951075 0.0069619105
development 0.00055590627 -0.002404035 0.00013766043 0.0026712231 0.00093799643 0.0037022005 -0.0018547692 0.0034971854 0.0022726397 -0.0014690666 0.002117217 -0.0033539897 -0.0019491224 0.0015736178 -0.0022352552 -0.0032504417 -0.0024019794 0.0029243736 0.0022281168 -0.0019985097 -0.0032845095 -0.0025872607 -0.0018080156 -0.0028861645 -0.0009910633 -0.0014010788 0.0007619598 -0.001212555 -0.0018559764 -0.0013897521 0.0018308737 0.001773072 -0.0017939805 0.0018272391 0.0030589795 -0.0018958731 0.0007029908 0.0014129827 0.0025386696 -0.0040170383 -0.003429623 -0.0024810103 -0.0015110779 -0.0029157056 0.0014534814 -0.001102548 0.0008477383 0.0018221844 0.0025028032 0.0014724765
october 0.0050734067 -0.0031059706 0.0054556867 0.0012024576 0.0030358685 0.0037136853 -0.004943606 -0.0019245336 0.004489854 0.005490609 0.004867509 -0.0025281566 -0.0043717013 0.004377053 -0.003695219 -0.0048893797 -0.0024228583 0.0029309958 0.0042566224 0.0027033924 -0.0044133933 -0.003787811 -0.0032617508 -0.0034830016 -0.0034042278 -0.0056127002 0.003561901 -0.005655704 0.0059394743 -0.004015067 0.003104946 0.0029415323 -0.0043351073 0.0028137257 0.0036514138 -0.005958601 -0.00031552542 0.005262782 0.003531081 -0.004952782 -0.0051103025 -0.001781291 -0.0038699945 -0.0007335176 0.0058203298 -0.00569106 0.004525584 0.002973163 0.003799498 0.0035500817
